news_id,company_id,tarih,kaynak,baslik,sentiment
N00001,F01179,2024-07-16,Sözcü,"Bereket Grup A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00002,F01179,2025-11-25,Hürriyet Ekonomi,"Bereket Grup A.Ş., 2025 yılı genel kurul toplantısını Ankara'de gerçekleştirdi.",notr
N00003,F01179,2025-01-15,Ekonomim,"Bereket Grup A.Ş., 2025 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00004,F00866,2026-06-09,Hürriyet Ekonomi,"Bahar Tarım A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00005,F00102,2023-06-02,Bloomberg HT,Anka Makine A.Ş. hakkında Konya Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00006,F00102,2022-10-21,Bloomberg HT,"Anka Makine A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00007,F00102,2024-10-06,Sözcü,"Anka Makine A.Ş. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00008,F00440,2023-06-08,Dünya Gazetesi,"Bumerang Metal Ltd. Şti., 2023 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00009,F00440,2024-06-10,Ekonomim,"Bumerang Metal Ltd. Şti., 2024 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00010,F00059,2026-08-16,Sözcü,"Ege Teknoloji Ltd. Şti., Ankara'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00011,F00059,2023-06-20,Sözcü,Ege Teknoloji Ltd. Şti. hakkında Ankara Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00012,F01121,2024-03-13,Dünya Gazetesi,Doruk Otomotiv A.Ş. hakkında Bursa Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00013,F00324,2026-02-06,Sözcü,"Kervan Sistem Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00014,F00324,2026-03-21,Sözcü,Kervan Sistem Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00015,F00975,2025-12-17,Bloomberg HT,Nokta Kimya A.Ş. hakkında İzmir Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00016,F00412,2023-07-02,Hürriyet Ekonomi,"Pusula Holding Ltd. Şti., sektör raporlarında Turizm ve Konaklama alanındaki oyunculardan biri olarak yer aldı.",notr
N00017,F00412,2025-05-13,Dünya Gazetesi,"Pusula Holding Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00018,F00856,2025-06-19,Ekonomim,"Deniz Metal Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00019,F00821,2025-11-08,Dünya Gazetesi,"Aydın Endüstri Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00020,F00045,2023-10-13,Dünya Gazetesi,"Sahil Grup A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00021,F00050,2024-11-10,Ekonomim,Cevher Endüstri Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00022,F00050,2023-05-10,Ekonomim,"Cevher Endüstri Ltd. Şti., sektör raporlarında Tarım alanındaki oyunculardan biri olarak yer aldı.",notr
N00023,F00850,2026-04-11,Ekonomim,"Mavera Turizm Ltd. Şti., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
